Lot_ID,Wafer_ID,Machine_ID,Process_Time,Temperature,Pressure,Defect_Count,Yield,Timestamp
LOT-2401,W001,EQ-03,58.3,79.9,2.42,44,78.9,2026/3/1 10:00
LOT-2401,W002,EQ-04,55.5,74.3,2.28,25,88.4,2026/3/1 11:12
LOT-2401,W003,eq01,51.2,72.2,2.17,12,93.3,2026/3/1 08:24
LOT-2402,W004,EQ04,56.5,72.8,2.28,13,92.3,2026/3/1 11:00
LOT-2402,W005,eq01,50.1,72.5,2.17,13,93.5,2026/3/1 08:12
LOT-2402,W006,EQ-02,52.1,73.3,2.18,16,92.1,2026/3/1 09:24
LOT-2403,W007,EQ-01,51.7,71.9,2.18,11,93.7,2026/3/1 08:00
LOT-2403,W008,EQ02,53.5,72.5,2.23,13,92.3,2026/3/1 09:12
LOT-2403,W009,EQ-03,57,79.9,2.42,50,,2026/3/1 10:24
LOT-2404,W010,EQ-02,52.9,72.9,2.22,10,94,2026/3/1 09:00
LOT-2404,W011,EQ-03,59.3,80,2.42,45,77.1,2026/3/1 10:12
LOT-2404,W012,EQ04,56.9,74.1,2.29,17,92.4,2026/3/1 11:24
LOT-2405,W013,EQ-03,57.4,79.4,2.44,42,79.5,2026/3/1 10:00
LOT-2405,W014,EQ-04,56.3,73.1,2.27,20,91.4,2026/3/1 11:12
LOT-2405,W014,EQ-04,56.3,73.1,2.27,20,91.4,2026/3/1 11:12
LOT-2405,W015,eq01,52.6,72.2,2.18,14,92.7,2026/3/1 08:24
LOT-2406,W016,EQ04,56.2,73,2.27,16,91,2026/3/2 11:00
LOT-2406,W017,eq01,not_recorded,71.5,2.16,8,94.7,2026/3/2 08:12
LOT-2406,W018,EQ02,53.3,72.8,2.23,10,93.8,2026/3/2 09:24
LOT-2407,W019,EQ01,50.2,72.2,2.19,14,92.3,2026/3/2 08:00
LOT-2407,W020,EQ-02,52.6,72.4,2.23,8,94,2026/3/2 09:12
LOT-2407,W021,eq03,56.1,79.5,2.43,48,76.1,2026/3/2 10:24
LOT-2408,W022,EQ02,52.1,72.3,2.25,12,93.2,2026/3/2 09:00
LOT-2408,W023,EQ-03,57.9,80.2,2.44,45,79.1,2026/3/2 10:12
LOT-2408,W024,EQ04,54.3,74,2.29,20,90.1,2026/3/2 11:24
LOT-2409,W025,EQ-03,59.3,79.7,2.43,38,80.2,2026/3/2 10:00
LOT-2409,W026,EQ-04,56.3,73.8,2.3,19,90.6,2026/3/2 11:12
LOT-2409,W027,eq01,50.2,71.3,2.19,6,94.8,2026/3/2 08:24
LOT-2410,W028,EQ04,56.2,74.5,2.29,22,89.6,2026/3/2 11:00
LOT-2410,W029,EQ-01,52.7,71.8,2.15,12,92.8,2026/3/2 08:12
LOT-2410,W030,EQ-02,52.4,72.6,2.23,9,92.6,2026/3/2 09:24
LOT-2411,W031,EQ-01,50.9,72.8,2.16,11,93.9,2026/3/3 08:00
LOT-2411,W032,EQ-02,51.8,72.5,2.22,13,92.7,2026/3/3 09:12
LOT-2411,W033,eq03,57.1,79.4,2.44,41,79,2026/3/3 10:24
LOT-2412,W034,EQ02,53,72.6,2.2,18,91.3,2026/3/3 09:00
LOT-2412,W035,EQ-03,56.9,79.7,2.44,46,79.2,2026/3/3 10:12
LOT-2412,W036,EQ-04,55.6,74.1,2.29,20,91.2,2026/3/3 11:24
LOT-2413,W037,eq03,58.6,78.9,2.37,38,81.8,2026/3/3 10:00
LOT-2413,W038,EQ04,56.3,73.4,2.33,12,92.4,2026/3/3 11:12
LOT-2413,W039,EQ-01,51.6,71.1,2.19,6,95,2026/3/3 08:24
LOT-2414,W040,EQ-04,55.6,73.4,2.26,18,91.5,2026/3/3 11:00
LOT-2414,W041,EQ-01,51.8,71.5,2.18,9,94.2,2026/3/3 08:12
LOT-2414,W042,EQ-02,53,72.7,2.21,12,92.6,2026/3/3 09:24
LOT-2415,W043,eq01,51.5,72.6,2.18,13,92.8,2026/3/3 08:00
LOT-2415,W044,EQ-02,51.1,73.2,2.19,22,90.3,2026/3/3 09:12
LOT-2415,W045,eq03,58.2,79.3,2.42,44,78.2,2026/3/3 10:24
LOT-2416,W046,EQ02,51.2,73.1,2.24,13,92.7,03/04/2026 09:00
LOT-2416,W047,eq03,57.8,79.4,2.43,44,78.2,03/04/2026 10:12
LOT-2416,W048,EQ-04,56.3,74.5,2.28,23,90.3,03/04/2026 11:24
LOT-2417,W049,EQ-03,57.3,79.9,2.42,50,75.6,03/04/2026 10:00
LOT-2417,W050,EQ-04,54.7,73.7,2.27,16,91.4,03/04/2026 11:12
LOT-2417,W051,EQ-01,50.5,71.7,2.17,13,92.4,03/04/2026 08:24
LOT-2418,W052,EQ-04,55.3,87,2.28,25,64,03/04/2026 11:00
LOT-2418,W053,EQ01,51.1,71.9,2.2,11,93.8,03/04/2026 08:12
LOT-2418,W054,EQ-02,52.7,72.4,2.22,16,93,03/04/2026 09:24
