Lot_ID,Wafer_ID,Machine_ID,Process_Time,Temperature,Pressure,Defect_Count,Yield,Timestamp
LOT-2401,W001,EQ04,55.4,74.1,2.26,20,91.3,2026/3/1 11:00
LOT-2401,W002,eq01,49.5,72.5,2.17,7,94.9,2026/3/1 08:12
LOT-2401,W003,EQ02,53.5,72.7,2.23,12,93.3,2026/3/1 09:24
LOT-2402,W004,EQ-01,53.1,72.4,2.16,5,95.3,2026/3/1 08:00
LOT-2402,W005,EQ02,52.4,72.9,2.23,12,93.2,2026/3/1 09:12
LOT-2402,W006,eq03,58,81,2.43,48,76.5,2026/3/1 10:24
LOT-2403,W007,EQ02,51.4,71.7,2.21,6,95,2026/3/1 09:00
LOT-2403,W008,EQ-03,58.2,80.4,2.42,44,77.6,2026/3/1 10:12
LOT-2403,W009,EQ04,55.8,73.8,2.27,20,,2026/3/1 11:24
LOT-2404,W010,eq03,58.9,80.2,2.43,45,77.7,2026/3/1 10:00
LOT-2404,W011,EQ04,55.8,73.8,2.28,17,91.4,2026/3/1 11:12
LOT-2404,W012,eq01,51.9,72.5,2.16,18,90.7,2026/3/1 08:24
LOT-2405,W013,EQ-04,55.6,73.4,2.28,13,93.6,2026/3/1 11:00
LOT-2405,W014,EQ01,51.3,72.4,2.18,12,93.3,2026/3/1 08:12
LOT-2405,W014,EQ01,51.3,72.4,2.18,12,93.3,2026/3/1 08:12
LOT-2405,W015,EQ-02,52.7,72.7,2.22,13,93.1,2026/3/1 09:24
LOT-2406,W016,EQ01,51.3,71.9,2.2,9,94.3,2026/3/2 08:00
LOT-2406,W017,EQ-02,not_recorded,73.2,2.23,17,93,2026/3/2 09:12
LOT-2406,W018,EQ-03,57.3,80.9,2.45,52,74.6,2026/3/2 10:24
LOT-2407,W019,EQ02,53.5,72.7,2.21,16,93.4,2026/3/2 09:00
LOT-2407,W020,EQ-03,56.7,80.6,2.44,49,75.2,2026/3/2 10:12
LOT-2407,W021,EQ04,57.1,73.9,2.29,19,89.7,2026/3/2 11:24
LOT-2408,W022,eq03,56.1,80.4,2.45,48,77.7,2026/3/2 10:00
LOT-2408,W023,EQ-04,56.8,73.8,2.28,19,90.6,2026/3/2 11:12
LOT-2408,W024,EQ01,51,73.1,2.2,15,92.5,2026/3/2 08:24
LOT-2409,W025,EQ-04,55.7,73.8,2.28,20,89.6,2026/3/2 11:00
LOT-2409,W026,EQ-01,51.6,72,2.18,5,94.5,2026/3/2 08:12
LOT-2409,W027,EQ-02,52.3,72.5,2.18,11,93.9,2026/3/2 09:24
LOT-2410,W028,eq01,51.3,71.6,2.2,5,95.4,2026/3/2 08:00
LOT-2410,W029,EQ-02,53,74,2.2,15,91.8,2026/3/2 09:12
LOT-2410,W030,eq03,57,80.4,2.44,48,74.6,2026/3/2 10:24
LOT-2411,W031,EQ-02,52.2,72.3,2.23,15,91.2,2026/3/3 09:00
LOT-2411,W032,EQ-03,57.4,80.7,2.42,46,77.2,2026/3/3 10:12
LOT-2411,W033,EQ04,57.5,73.1,2.29,17,90.4,2026/3/3 11:24
LOT-2412,W034,eq03,57.8,80.6,2.43,44,76.2,2026/3/3 10:00
LOT-2412,W035,EQ-04,55.2,74,2.28,22,88,2026/3/3 11:12
LOT-2412,W036,EQ01,50.3,72,2.18,17,90.8,2026/3/3 08:24
LOT-2413,W037,EQ-04,56.6,74.1,2.27,21,89.4,2026/3/3 11:00
LOT-2413,W038,eq01,51.8,71.7,2.18,9,94.3,2026/3/3 08:12
LOT-2413,W039,EQ02,52.7,72.4,2.21,14,92.3,2026/3/3 09:24
LOT-2414,W040,eq01,50.6,72.6,2.17,10,93.2,2026/3/3 08:00
LOT-2414,W041,EQ-02,52.3,73,2.22,14,93,2026/3/3 09:12
LOT-2414,W042,eq03,56.1,80.5,2.43,43,78.8,2026/3/3 10:24
LOT-2415,W043,EQ02,53.2,72.4,2.24,11,93.4,2026/3/3 09:00
LOT-2415,W044,EQ-03,58.1,81,2.43,51,76.2,2026/3/3 10:12
LOT-2415,W045,EQ04,55.4,74.2,2.3,18,91,2026/3/3 11:24
LOT-2416,W046,eq03,56.7,80.6,2.44,46,77.2,03/04/2026 10:00
LOT-2416,W047,EQ04,57,74,2.29,24,89.9,03/04/2026 11:12
LOT-2416,W048,EQ01,50.8,72.7,2.2,17,92,03/04/2026 08:24
LOT-2417,W049,EQ-04,56.5,73.8,2.28,17,91.1,03/04/2026 11:00
LOT-2417,W050,EQ-01,50.5,72.4,2.18,10,94.1,03/04/2026 08:12
LOT-2417,W051,EQ02,52.9,72.5,2.22,17,91.6,03/04/2026 09:24
LOT-2418,W052,EQ-01,52.4,88,2.2,11,63,03/04/2026 08:00
LOT-2418,W053,EQ02,51.9,72,2.22,14,93,03/04/2026 09:12
LOT-2418,W054,eq03,57.4,80.6,2.4,49,75.8,03/04/2026 10:24
