Batch_ID,Chamber_ID,Recipe_ID,Gas_Flow,RF_Power,Etch_Time,Thickness,Defect_Rate,Timestamp
B-5200,cha,RCP-ETCH-1,49.97,322.2,42.3,105.56,1.86,2026/3/1 07:00
B-5201,CH-B,RCP-ETCH-2,49.06,325.8,42.5,104.8,2.04,2026/3/1 08:07
B-5202,CH-C,RCP-ETCH-1,48.38,321.5,42.8,103.32,1.54,2026/3/1 09:14
B-5203,CH-A,RCP-ETCH-2,46.79,317.3,38.6,104.17,1.81,2026/3/1 10:21
B-5204,CH-B,RCP-ETCH-1,50.76,322.6,42.1,105.38,2.18,2026/3/1 11:28
B-5205,CH-C,RCP-ETCH-2,46.43,316.3,43,102.7,1.83,2026/3/1 12:35
B-5206,CH-A,RCP-ETCH-1,48.41,311.8,41.9,104.21,1.72,2026/3/1 13:42
B-5207,CH-B,RCP-ETCH-2,50.19,320,40.4,103.04,2.3,2026/3/1 14:49
B-5208,CH-C,RCP-ETCH-1,47.17,312.9,42.8,103.55,2.15,2026/3/1 15:56
B-5209,CH-A,RCP-ETCH-2,49.08,320.5,42.9,106.01,1.69,2026/3/1 16:03
B-5210,CH-B,RCP-ETCH-1,49.24,324.6,42.3,104.36,2.11,2026/3/1 07:10
B-5211,CH-C,RCP-ETCH-2,48.39,327.2,41,105.65,1.89,2026/3/1 08:17
B-5212,CH-A,RCP-ETCH-1,46.82,317.3,40.2,102.76,1.72,2026/3/1 09:24
B-5213,CH-B,RCP-ETCH-2,49.65,325.1,42.5,104.72,2.22,2026/3/1 10:31
B-5214,CH-C,RCP-ETCH-1,47.15,318.3,41.5,103.35,1.83,2026/3/1 11:38
B-5215,CH-A,RCP-ETCH-2,47.31,319.3,40.9,103.78,1.64,2026/3/1 12:45
B-5216,CH-B,RCP-ETCH-1,48.29,323,42.9,101.98,2.02,2026/3/1 13:52
B-5217,CH-C,RCP-ETCH-2,47.93,313.5,42.3,103.6,2,2026/3/1 14:59
B-5218,CH-A,RCP-ETCH-1,48.18,326.6,40.9,106.03,1.84,2026/3/2 15:06
B-5219,CH-B,RCP-ETCH-2,48.63,326.8,41.7,105.31,1.97,2026/3/2 16:13
B-5220,CH-C,RCP-ETCH-1,48.14,305.4,42.4,103.33,1.69,2026/3/2 07:20
B-5221,CH-A,RCP-ETCH-2,48.17,325.6,41.7,,1.8,2026/3/2 08:27
B-5222,CH-B,RCP-ETCH-1,50.22,322.1,42.4,104.59,1.78,2026/3/2 09:34
B-5223,CH-C,RCP-ETCH-2,46.39,317.7,40.2,102.69,1.73,2026/3/2 10:41
B-5224,CH-A,RCP-ETCH-1,48.95,326.1,41.2,103.26,1.82,2026/3/2 11:48
B-5225,CH-B,RCP-ETCH-2,48.71,321.4,42,103.54,2.21,2026/3/2 12:55
B-5226,CH-C,RCP-ETCH-1,47.84,320.7,42.2,103.62,1.95,2026/3/2 13:02
B-5227,CH-A,RCP-ETCH-2,47.27,319.1,40.9,102.62,1.62,2026/3/2 14:09
B-5228,CH-B,RCP-ETCH-1,50.82,325.6,43.8,104.1,2.5,2026/3/2 15:16
B-5229,CH-C,RCP-ETCH-2,47.57,322.3,42.1,102.67,1.71,2026/3/2 16:23
B-5230,CH-A,RCP-ETCH-1,47.67,317.6,42.1,103.01,1.67,2026/3/2 07:30
B-5231,CH-B,RCP-ETCH-2,47.56,318.8,42.5,104.33,1.93,2026/3/2 08:37
B-5232,CH-C,RCP-ETCH-1,46.98,314.9,42.3,103.89,2.08,2026/3/2 09:44
B-5233,cha,RCP-ETCH-2,sensor_error,310.6,41.9,104.88,2.16,2026/3/2 10:51
B-5234,CH-B,RCP-ETCH-1,48.23,327.5,41.3,103.64,1.95,2026/3/2 11:58
B-5235,CH-C,RCP-ETCH-2,48.4,322,42.2,101.81,1.71,2026/3/2 12:05
B-5236,CH-A,RCP-ETCH-1,49.35,323.8,42.4,103.4,1.41,2026/3/3 13:12
B-5237,CH-B,RCP-ETCH-2,48.07,331.5,43,102.58,1.93,2026/3/3 14:19
B-5238,CH-C,RCP-ETCH-1,47.51,316.9,43.9,105.22,1.63,2026/3/3 15:26
B-5239,CH-A,RCP-ETCH-2,47.65,325.8,40.9,104.28,1.58,2026/3/3 16:33
B-5240,CH-B,RCP-ETCH-1,49.98,321,40.2,104.75,2.35,2026/3/3 07:40
B-5241,CH-C,RCP-ETCH-2,47.28,323.2,39.9,102.54,1.57,2026/3/3 08:47
B-5242,CH-A,RCP-ETCH-1,47.76,324.5,41.9,104.39,1.83,2026/3/3 09:54
