Batch_ID,Chamber_ID,Recipe_ID,Gas_Flow,RF_Power,Etch_Time,Thickness,Defect_Rate,Timestamp
B-5200,cha,RCP-ETCH-2,49.72,321.5,41.1,106.6,2.1,2026/3/1 07:00
B-5201,CH-B,RCP-ETCH-1,50.34,326.8,41.1,104.82,1.88,2026/3/1 08:07
B-5202,CH-C,RCP-ETCH-2,46.88,321.3,41.5,106.19,1.74,2026/3/1 09:14
B-5203,CH-A,RCP-ETCH-1,47.22,324.2,41.1,103.6,1.96,2026/3/1 10:21
B-5204,CH-B,RCP-ETCH-2,49.82,328.2,42.5,104.06,2.17,2026/3/1 11:28
B-5205,CH-C,RCP-ETCH-1,46.54,318.1,41.4,104.53,1.43,2026/3/1 12:35
B-5206,CH-A,RCP-ETCH-2,46.45,314.7,42.4,103.03,1.51,2026/3/1 13:42
B-5207,CH-B,RCP-ETCH-1,48.66,323.5,44.1,104.41,1.98,2026/3/1 14:49
B-5208,CH-C,RCP-ETCH-2,46.26,317.5,42,107.33,1.56,2026/3/1 15:56
B-5209,CH-A,RCP-ETCH-1,48.4,313.6,42.1,103.92,1.72,2026/3/1 16:03
B-5210,CH-B,RCP-ETCH-2,49.24,320.2,42.7,103.27,2,2026/3/1 07:10
B-5211,CH-C,RCP-ETCH-1,46.93,313.7,41.5,104.27,1.62,2026/3/1 08:17
B-5212,CH-A,RCP-ETCH-2,48.08,317.3,43.1,104.91,1.86,2026/3/1 09:24
B-5213,CH-B,RCP-ETCH-1,49.08,327.6,41.1,104.26,2.13,2026/3/1 10:31
B-5214,CH-C,RCP-ETCH-2,46.5,308.7,41.5,106.78,1.73,2026/3/1 11:38
B-5215,CH-A,RCP-ETCH-1,48.13,324,41.3,103.14,1.65,2026/3/1 12:45
B-5216,CH-B,RCP-ETCH-2,48.94,315.7,43.9,102.94,2.15,2026/3/1 13:52
B-5217,CH-C,RCP-ETCH-1,47.83,316.2,43,101.89,1.39,2026/3/1 14:59
B-5218,CH-A,RCP-ETCH-2,48.22,319.4,40.8,103.74,1.36,2026/3/2 15:06
B-5219,CH-B,RCP-ETCH-1,49.52,323.9,42,104.3,2.48,2026/3/2 16:13
B-5220,CH-C,RCP-ETCH-2,48.71,324.8,42.1,105.99,1.86,2026/3/2 07:20
B-5221,CH-A,RCP-ETCH-1,46.82,313.9,44.7,,1.74,2026/3/2 08:27
B-5222,CH-B,RCP-ETCH-2,50.53,315.6,41.3,107.04,2.05,2026/3/2 09:34
B-5223,CH-C,RCP-ETCH-1,46.55,315.1,43.9,104.26,2.07,2026/3/2 10:41
B-5224,CH-A,RCP-ETCH-2,48.76,323,43.3,100.34,1.65,2026/3/2 11:48
B-5225,CH-B,RCP-ETCH-1,49.78,318.1,44.3,106.32,2.32,2026/3/2 12:55
B-5226,CH-C,RCP-ETCH-2,48.57,322,41.4,104.29,1.7,2026/3/2 13:02
B-5227,CH-A,RCP-ETCH-1,48.22,323.4,40.9,104.41,2.18,2026/3/2 14:09
B-5228,CH-B,RCP-ETCH-2,49.64,330,43,103.97,2.01,2026/3/2 15:16
B-5229,CH-C,RCP-ETCH-1,46.37,319.8,42.4,102.54,1.72,2026/3/2 16:23
B-5230,CH-A,RCP-ETCH-2,47.81,316.9,41.9,104.23,1.55,2026/3/2 07:30
B-5231,CH-B,RCP-ETCH-1,48.93,323.2,41.3,106.31,1.91,2026/3/2 08:37
B-5232,CH-C,RCP-ETCH-2,45.72,319.8,42.1,106.08,1.6,2026/3/2 09:44
B-5233,cha,RCP-ETCH-1,sensor_error,325.8,41.8,103.64,1.76,2026/3/2 10:51
B-5234,CH-B,RCP-ETCH-2,49.58,332.5,43.1,105.97,2.13,2026/3/2 11:58
B-5235,CH-C,RCP-ETCH-1,48.37,323.8,42.6,105.37,1.81,2026/3/2 12:05
B-5236,CH-A,RCP-ETCH-2,49.22,321.3,42.1,103.26,1.64,2026/3/3 13:12
B-5237,CH-B,RCP-ETCH-1,49.29,328.4,41.8,104.89,2.07,2026/3/3 14:19
B-5238,CH-C,RCP-ETCH-2,48.22,314.8,43.9,104.37,1.86,2026/3/3 15:26
B-5239,CH-A,RCP-ETCH-1,49.58,315.9,42.1,104.04,1.55,2026/3/3 16:33
B-5240,CH-B,RCP-ETCH-2,49.03,330.8,42.8,103.29,2.08,2026/3/3 07:40
B-5241,CH-C,RCP-ETCH-1,47.76,320.2,41.4,101.97,2.01,2026/3/3 08:47
B-5242,CH-A,RCP-ETCH-2,47.54,321.4,41.6,100.73,1.61,2026/3/3 09:54
B-5243,CH-B,RCP-ETCH-1,51.66,331,41.5,103.2,1.97,2026/3/3 10:01
B-5244,CH-C,RCP-ETCH-2,48.25,315.3,42.7,102.56,2,2026/3/3 11:08
B-5244,CH-C,RCP-ETCH-2,48.25,315.3,42.7,102.56,2,2026/3/3 11:08
B-5245,CH-A,RCP-ETCH-1,48.88,323.2,41.6,103.24,1.92,2026/3/3 12:15
B-5246,CH-B,RCP-ETCH-2,48.09,328.2,42.5,101.9,2.51,2026/3/3 13:22
B-5247,CH-C,RCP-ETCH-1,46.42,323.7,43.2,103.26,2.06,2026/3/3 14:29
B-5248,CH-A,RCP-ETCH-2,47.87,330.2,44.7,101.75,2.33,2026/3/3 15:36
B-5249,CH-B,RCP-ETCH-1,48.34,326.1,41.8,102.07,2.69,2026/3/3 16:43
B-5250,CH-C,RCP-ETCH-2,46.97,328.9,43.7,99.86,2.25,2026/3/3 07:50
B-5251,CH-A,RCP-ETCH-1,49.23,319.8,43.6,101.64,2.25,03/03/2026 08:57
B-5252,CH-B,RCP-ETCH-2,51.41,337.5,40.4,101.75,2.51,03/03/2026 09:04
B-5253,CH-C,RCP-ETCH-1,45.31,319.5,42.9,101.01,2.25,03/03/2026 10:11
B-5254,CH-A,RCP-ETCH-2,48.12,321.5,43.5,98.23,2.15,03/04/2026 11:18
B-5255,CH-B,RCP-ETCH-1,49.68,330.1,41.7,102.18,2.42,03/04/2026 12:25
B-5256,CH-C,RCP-ETCH-2,48.86,316.5,42.5,97.94,2.65,03/04/2026 13:32
B-5257,CH-A,RCP-ETCH-1,48.86,332.6,45.1,98.28,2.53,03/04/2026 14:39
B-5258,CH-B,RCP-ETCH-2,50.98,330,43.7,99.93,3.23,03/04/2026 15:46
B-5259,CH-C,RCP-ETCH-1,47.06,334.1,44.1,97.32,2.45,03/04/2026 16:53
B-5260,CH-A,RCP-ETCH-2,49.07,337.2,41.9,97.06,9.5,03/04/2026 07:00
B-5261,CH-B,RCP-ETCH-1,51.29,338,42.9,100.31,2.91,03/04/2026 08:07
B-5262,CH-C,RCP-ETCH-2,49.31,325.9,44.2,98.9,2.51,03/04/2026 09:14
B-5263,CH-A,RCP-ETCH-1,49.41,322.9,43.9,102.25,2.41,03/04/2026 10:21
B-5264,CH-B,RCP-ETCH-2,50.94,330.5,41.6,101.2,3.18,03/04/2026 11:28
B-5265,CH-C,RCP-ETCH-1,48.76,328.4,42.9,100.25,3.08,03/04/2026 12:35
B-5266,cha,RCP-ETCH-2,48.91,337.5,44,97.91,2.57,03/04/2026 13:42
B-5267,CH-B,RCP-ETCH-1,50.81,329.3,42.5,100.32,3,03/04/2026 14:49
B-5268,CH-C,RCP-ETCH-2,49.71,328.6,41.3,95.11,2.86,03/04/2026 15:56
B-5269,CH-A,RCP-ETCH-1,49.26,332.5,42.9,99.42,2.75,03/04/2026 16:03
B-5270,CH-B,RCP-ETCH-2,51.09,337.3,43.9,96.78,3.94,03/04/2026 07:10
B-5271,CH-C,RCP-ETCH-1,48.32,336,41.8,97.81,3.08,03/04/2026 08:17
