Inspection_ID,Lot_ID,Product_Type,Inspection_Tool,Line_Width,Overlay_Error,Particle_Count,Pass_Fail,Review_Time,Timestamp
I-7000,LOT-2500,Logic-A,ins-02,37.79,2.98,16,PASS,21.5,2026/3/1 08:00
I-7001,LOT-2500,Memory-B,INS-03,39.57,1.9,14,PASS,20,2026/3/1 09:09
I-7002,LOT-2500,Sensor-C,INS-01,40.19,3.49,14,PASS,19.7,2026/3/1 10:18
I-7003,LOT-2501,Logic-A,INS-02,37.78,1.99,14,PASS,25.2,2026/3/1 11:27
I-7004,LOT-2501,Memory-B,INS-03,40.22,1.78,8,PASS,18.4,2026/3/1 12:36
I-7005,LOT-2501,Sensor-C,INS-01,40.99,2.47,14,PASS,15.4,2026/3/1 13:45
I-7006,LOT-2502,Logic-A,INS-02,37.65,2.02,10,PASS,18.5,2026/3/1 14:54
I-7007,LOT-2502,Memory-B,INS-03,40.13,2.54,14,PASS,18.2,2026/3/1 15:03
I-7008,LOT-2502,Sensor-C,INS-01,41.05,2.43,11,PASS,24.7,2026/3/1 08:12
I-7009,LOT-2503,Logic-A,INS-02,37.31,1.66,11,PASS,23.7,2026/3/1 09:21
I-7010,LOT-2503,Memory-B,INS-03,39.46,1.75,10,PASS,16.1,2026/3/1 10:30
I-7011,LOT-2503,Sensor-C,INS-01,41.19,1.98,11,PASS,15.9,2026/3/1 11:39
I-7012,LOT-2504,Logic-A,INS-02,37.48,,14,PASS,22.2,2026/3/1 12:48
I-7013,LOT-2504,Memory-B,ins-03,39.56,2.65,12,PASS,18.3,2026/3/1 13:57
I-7014,LOT-2504,Sensor-C,INS-01,41.8,1.45,10,PASS,15.6,2026/3/1 14:06
I-7015,LOT-2505,Logic-A,INS-02,37.93,2.36,15,PASS,14.9,2026/3/1 15:15
I-7016,LOT-2505,Memory-B,INS-03,39.24,2.75,15,PASS,22,2026/3/2 08:24
I-7017,LOT-2505,Sensor-C,INS-01,40.85,1.3,14,PASS,19.5,2026/3/2 09:33
I-7018,LOT-2506,Logic-A,INS-02,38.48,2.67,16,PASS,17.9,2026/3/2 10:42
I-7019,LOT-2506,Memory-B,INS-03,39.31,2.1,14,PASS,15.1,2026/3/2 11:51
I-7020,LOT-2506,Sensor-C,INS-01,39.98,2.81,16,PASS,18.9,2026/3/2 12:00
I-7021,LOT-2507,Logic-A,INS-02,38.55,3.13,16,PASS,20.4,2026/3/2 13:09
I-7022,LOT-2507,Memory-B,INS-03,38.8,1.48,12,PASS,16.3,2026/3/2 14:18
