Inspection_ID,Lot_ID,Product_Type,Inspection_Tool,Line_Width,Overlay_Error,Particle_Count,Pass_Fail,Review_Time,Timestamp
I-7000,LOT-2500,Logic-A,ins-03,38.12,2.45,8,PASS,18.5,2026/3/1 08:00
I-7001,LOT-2500,Memory-B,INS-01,39.37,2.13,14,PASS,17,2026/3/1 09:09
I-7002,LOT-2500,Sensor-C,INS-02,40.34,2.33,16,PASS,21.4,2026/3/1 10:18
I-7003,LOT-2501,Logic-A,INS-03,38.32,1.95,10,PASS,18.3,2026/3/1 11:27
I-7004,LOT-2501,Memory-B,INS-01,39.16,1.01,4,PASS,16.2,2026/3/1 12:36
I-7005,LOT-2501,Sensor-C,INS-02,40.89,1.47,12,PASS,17.5,2026/3/1 13:45
I-7006,LOT-2502,Logic-A,INS-03,37.94,1.75,9,PASS,18.5,2026/3/1 14:54
I-7007,LOT-2502,Memory-B,INS-01,38.91,2.15,11,PASS,16,2026/3/1 15:03
I-7008,LOT-2502,Sensor-C,INS-02,41.29,2.42,16,PASS,16.3,2026/3/1 08:12
I-7009,LOT-2503,Logic-A,INS-03,38.13,2.23,14,PASS,23.8,2026/3/1 09:21
I-7010,LOT-2503,Memory-B,INS-01,39.07,2.12,6,PASS,22,2026/3/1 10:30
I-7011,LOT-2503,Sensor-C,INS-02,40.43,1.59,12,PASS,17.8,2026/3/1 11:39
I-7012,LOT-2504,Logic-A,INS-03,38.3,,14,PASS,17.9,2026/3/1 12:48
I-7013,LOT-2504,Memory-B,ins-01,39.65,2.03,10,PASS,14.9,2026/3/1 13:57
I-7014,LOT-2504,Sensor-C,INS-02,41.06,2.94,11,PASS,18.7,2026/3/1 14:06
I-7015,LOT-2505,Logic-A,INS-03,37.75,2.5,10,PASS,22.5,2026/3/1 15:15
I-7016,LOT-2505,Memory-B,INS-01,39.6,2.65,19,PASS,15.1,2026/3/2 08:24
I-7017,LOT-2505,Sensor-C,INS-02,41.23,2.02,14,PASS,16.8,2026/3/2 09:33
I-7018,LOT-2506,Logic-A,INS-03,37.9,2.77,16,PASS,16.4,2026/3/2 10:42
I-7019,LOT-2506,Memory-B,INS-01,39.98,2.28,17,PASS,14.9,2026/3/2 11:51
I-7020,LOT-2506,Sensor-C,INS-02,41.33,2.86,19,PASS,18.1,2026/3/2 12:00
I-7021,LOT-2507,Logic-A,INS-03,38.44,2.9,12,PASS,21,2026/3/2 13:09
I-7022,LOT-2507,Memory-B,INS-01,39.56,2.69,14,PASS,24.9,2026/3/2 14:18
I-7023,LOT-2507,Sensor-C,INS-02,42.02,2.36,13,PASS,11.7,2026/3/2 15:27
I-7024,LOT-2508,Logic-A,INS-03,38.08,2.38,12,PASS,14.4,2026/3/2 08:36
I-7025,LOT-2508,Memory-B,INS-01,40.05,2.58,10,PASS,15,2026/3/2 09:45
I-7026,LOT-2508,Sensor-C,ins-02,39.12,2.05,19,PASS,15.1,2026/3/2 10:54
I-7027,LOT-2509,Logic-A,INS-03,37.74,1.69,10,PASS,16.2,2026/3/2 11:03
I-7028,LOT-2509,Memory-B,INS-01,manual_check,1.77,7,PASS,16.5,2026/3/2 12:12
I-7029,LOT-2509,Sensor-C,INS-02,41.77,2.19,12,PASS,11,2026/3/2 13:21
I-7030,LOT-2510,Logic-A,INS-03,36.44,2.53,16,PASS,18.2,2026/3/2 14:30
I-7031,LOT-2510,Memory-B,INS-01,39.42,1.71,13,PASS,20.2,2026/3/2 15:39
I-7032,LOT-2510,Sensor-C,INS-02,40.73,2.14,14,PASS,15.1,2026/3/3 08:48
I-7033,LOT-2511,Logic-A,INS-03,38.84,2.3,14,PASS,15.4,2026/3/3 09:57
I-7034,LOT-2511,Memory-B,INS-01,39.89,2.3,14,PASS,20.7,2026/3/3 10:06
I-7035,LOT-2511,Sensor-C,INS-02,41.27,2.15,12,PASS,17.8,2026/3/3 11:15
I-7036,LOT-2512,Logic-A,INS-03,37.18,2.82,11,PASS,15.2,2026/3/3 12:24
I-7037,LOT-2512,Memory-B,INS-01,39.19,1.67,11,PASS,15.8,2026/3/3 13:33
I-7038,LOT-2512,Sensor-C,INS-02,40.62,3.02,13,PASS,17,2026/3/3 14:42
I-7039,LOT-2513,Logic-A,ins-03,37.22,2.33,17,PASS,12,2026/3/3 15:51
I-7039,LOT-2513,Logic-A,ins-03,37.22,2.33,17,PASS,12,2026/3/3 15:51
I-7040,LOT-2513,Memory-B,INS-01,39.4,1.61,9,PASS,13.8,2026/3/3 08:00
I-7041,LOT-2513,Sensor-C,INS-02,41.46,2.94,16,PASS,21.9,2026/3/3 09:09
I-7042,LOT-2514,Logic-A,INS-03,38.06,1.92,12,PASS,23.4,2026/3/3 10:18
